"time_stamp","friendly_name","currency_pair","product_type","channel","trade_quantity","trade_side","trade_status","trade_price","segment","sector","region"
2024-10-14 08:04:13,"The Zebra Bank","USD/ZAR","Spot","ACCELERATE SDP",1100,"SELL","FILLED",17.89034,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:04:28,"Software Supplies","GBP/USD","Spot","FASTMATCH",1000,"SELL","FILLED",1.31729,"CCG","TBC","South Africa"
2024-10-14 08:04:55,"GSA FUND","USD/ZAR","Spot","ACCELERATE SDP",1951000,"BUY","FILLED",17.89197,"ICG","Other","South Africa"
2024-10-14 08:05:28,"Bank of Accesibility","GBP/USD","Spot","FASTMATCH",1100,"BUY","FILLED",1.31249,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:05:36,"Bank of Accesibility","USD/ZAR","Spot","360T",77442400,"SELL","FILLED",17.84258,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:05:48,"Mauritius Client","USD/NGN","Forward","ACCELERATE SDP",422200,"BUY","FILLED",1148,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:05:55,"10 Multiplication","USD/ZAR","Spot","ACCELERATE STW",45600,"SELL","FILLED",17.9229,"ICG","CIB Asset Management & Funds","Namibia"
2024-10-14 08:05:58,"Mauritius Client","USD/ZAR","Spot","FXALL",6400,"SELL","FILLED",17.90789,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:06:22,"Generation Medication","USD/ZAR","Spot","360T",7501100,"SELL","FILLED",17.7804,"CCG","CIB CPG and Agri","South Africa"
2024-10-14 08:06:27,"10 Multiplication","USD/ZAR","Spot","360T",18200,"SELL","FILLED",17.75881,"ICG","CIB Asset Management & Funds","Botswana"
2024-10-14 08:06:45,"Generation Medication","BWP/ZAR","Forward","FASTMATCH",1100,"BUY","FILLED",1.3355,"CCG","CIB CPG and Agri","South Africa"
2024-10-14 08:06:51,"Silver Fields","USD/ZAR","Spot","FASTMATCH",1000,"SELL","FILLED",17.85288,"CCG","CIB Resources","London"
2024-10-14 08:06:52,"Bank in Germany","USD/ZAR","Spot","FASTMATCH",1600,"BUY","FILLED",17.75392,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:07:02,"Bank Ten","USD/ZAR","Spot","360T",1691200,"BUY","FILLED",17.86867,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:07:05,"Silver Fields","USD/ZAR","Spot","360T",1000,"SELL","FILLED",17.9671,"CCG","CIB Resources","London"
2024-10-14 08:07:17,"ABC Motoring","EUR/NAD","Forward","ACCELERATE SDP",77617000,"BUY","FILLED",19.81,"CCG","TBC","South Africa"
2024-10-14 08:07:19,"ABC Motoring","USD/ZAR","Spot","BBG",2867000,"BUY","FILLED",17.87184,"CCG","TBC","South Africa"
2024-10-14 08:08:14,"10 Multiplication","USD/ZAR","Spot","360T",5300,"BUY","FILLED",17.83687,"ICG","CIB Asset Management & Funds","London"
2024-10-14 08:08:14,"Golf 7 GTI RSA","GBP/NAD","Forward","FASTMATCH",2300,"SELL","FILLED",23.49,"CCG","CIB Auto Logistics & Industrials","South Africa"
2024-10-14 08:08:38,"Mauritius Client","USD/ZAR","Spot","ACCELERATE SDP",1100,"SELL","FILLED",17.9194,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:08:40,"Dollar Refinery","USD/ZAR","Spot","FASTMATCH",13101800,"BUY","FILLED",17.96147,"CCG","CIB Resources","South Africa"
2024-10-14 08:08:59,"Generation Medication","BWP/ZAR","Forward","FASTMATCH",1005000,"BUY","FILLED",1.3315,"CCG","CIB CPG and Agri","South Africa"
2024-10-14 08:09:15,"Software Supplies","USD/ZAR","Spot","ACCELERATE SDP",1000,"BUY","FILLED",17.93462,"CCG","TBC","South Africa"
2024-10-14 08:09:53,"Mauritius Client","USD/ZAR","Spot","ACCELERATE SDP",57085900,"BUY","FILLED",17.9357,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:10:07,"Software Supplies","USD/ZAR","Forward","FXALL",188855100,"SELL","FILLED",17.78623,"CCG","TBC","South Africa"
2024-10-14 08:10:07,"Mauritius Client","USD/ZAR","Spot","ACCELERATE STW",5600,"BUY","FILLED",17.9304,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:10:14,"ABC Motoring","USD/ZAR","Spot","FASTMATCH",193800,"BUY","FILLED",17.71564,"CCG","TBC","South Africa"
2024-10-14 08:10:28,"Bank in Germany","USD/LSL","Forward","FASTMATCH",18042900,"BUY","FILLED",17.9332095,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:10:46,"Software Supplies","USD/ZAR","Swap","ACCELERATE STW",1027500,"SELL","FILLED",0.00143,"CCG","TBC","London"
2024-10-14 08:10:47,"The Zebra Bank","GBP/USD","Forward","FASTMATCH",143900,"SELL","FILLED",1.316262,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:10:58,"Dollar Refinery","BWP/ZAR","Forward","FASTMATCH",6415300,"SELL","FILLED",1.3301,"CCG","CIB Resources","South Africa"
2024-10-14 08:10:59,"Anglo European","USD/ZAR","Spot","ACCELERATE SDP",11612100,"SELL","FILLED",17.8388,"CCG","CIB Resources","Botswana"
2024-10-14 08:11:18,"Anglo European","USD/ZAR","Spot","360T",1164600,"BUY","FILLED",17.96457,"CCG","CIB Resources","South Africa"
2024-10-14 08:11:23,"Alan Brown","USD/ZAR","Spot","FASTMATCH",1000,"BUY","FILLED",17.89988,"ICG","CIB Asset Management & Funds","South Africa"
2024-10-14 08:11:39,"Dollar Refinery","USD/ZAR","Forward","ACCELERATE SDP",30531200,"BUY","FILLED",17.9590408,"CCG","CIB Resources","South Africa"
2024-10-14 08:11:43,"Bank in Germany","USD/ZAR","Spot","ACCELERATE STW",275100,"SELL","FILLED",17.85962,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:12:16,"GSA FUND","USD/ZAR","Spot","BBG",1000,"BUY","FILLED",17.9441,"ICG","Other","South Africa"
2024-10-14 08:12:17,"Mauritius Client","USD/ZAR","Spot","ACCELERATE SDP",1000,"BUY","FILLED",17.8815,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:12:53,"Anglo European","USD/ZAR","Spot","ACCELERATE SDP",79788800,"BUY","FILLED",17.72069,"CCG","CIB Resources","London"
2024-10-14 08:12:58,"Alan Brown","USD/ZAR","Spot","ACCELERATE STW",2700,"SELL","FILLED",17.86448,"ICG","CIB Asset Management & Funds","South Africa"
2024-10-14 08:13:03,"Anglo European","EUR/USD","Forward","360T",767400,"SELL","FILLED",1.106501,"CCG","CIB Resources","South Africa"
2024-10-14 08:13:28,"Mauritius Client","USD/SZL","Forward","FASTMATCH",1000,"BUY","FILLED",18.0485,"ICG","CIB Banks and DFIs","London"
2024-10-14 08:13:32,"The Zebra Bank","USD/ZAR","Spot","ACCELERATE SDP",114600,"BUY","FILLED",17.75881,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:13:52,"Silver Fields","USD/ZAR","Spot","FASTMATCH",236200,"BUY","FILLED",17.94013,"CCG","CIB Resources","Botswana"
2024-10-14 08:13:58,"GSA FUND","GBP/ZAR","Swap","FASTMATCH",99981300,"SELL","FILLED",0.0019251,"ICG","Other","London"
2024-10-14 08:14:25,"Mauritius Client","GBP/USD","Spot","ACCELERATE STW",44200,"BUY","FILLED",1.31487,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:14:34,"Alan Brown","USD/ZAR","Spot","FASTMATCH",835700,"BUY","FILLED",17.85847,"ICG","CIB Asset Management & Funds","South Africa"
2024-10-14 08:14:51,"Mauritius Client","USD/ZAR","Forward","ACCELERATE SDP",18800,"BUY","FILLED",17.8569577,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:14:54,"GSA FUND","USD/ZAR","Spot","FASTMATCH",17400100,"SELL","FILLED",17.80225,"ICG","Other","South Africa"
2024-10-14 08:15:03,"OfferVest","USD/ZAR","Spot","360T",31876500,"BUY","FILLED",17.75535,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:15:33,"ABC Motoring","EUR/USD","Spot","360T",214442400,"BUY","FILLED",1.1069,"CCG","TBC","South Africa"
2024-10-14 08:15:49,"The Zebra Bank","USD/ZAR","Spot","ACCELERATE SDP",1087600,"BUY","FILLED",17.89169,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:16:26,"ABC Motoring","EUR/USD","Spot","360T",3613800,"SELL","FILLED",1.11066,"CCG","TBC","South Africa"
2024-10-14 08:16:27,"Alan Brown","USD/ZAR","Swap","FASTMATCH",59526700,"SELL","FILLED",0.0167321,"ICG","CIB Asset Management & Funds","South Africa"
2024-10-14 08:16:33,"Anglo European","BWP/ZAR","Forward","ACCELERATE STW",905700,"SELL","FILLED",1.3315,"CCG","CIB Resources","South Africa"
2024-10-14 08:16:37,"Mauritius Client","USD/JPY","Forward","FASTMATCH",23234200,"SELL","FILLED",146.373,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:17:03,"Bank Ten","USD/ZAR","Spot","FASTMATCH",5886700,"SELL","FILLED",17.87492,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:17:13,"King Manufacturers","USD/ZAR","Spot","360T",1000,"BUY","FILLED",17.82547,"CCG","CIB CPG and Agri","South Africa"
2024-10-14 08:17:16,"Nineteen Asset Managers","USD/ZAR","Spot","ACCELERATE SDP",1100,"SELL","FILLED",17.91001,"ICG","CIB Asset Management & Funds","London"
2024-10-14 08:17:43,"Nineteen Asset Managers","USD/ZAR","Spot","FASTMATCH",258500,"BUY","FILLED",17.94997,"ICG","CIB Asset Management & Funds","London"
2024-10-14 08:18:25,"Mauritius Client","USD/ZAR","Spot","360T",2400,"SELL","FILLED",17.95307,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:18:45,"Generation Medication","USD/ZAR","Spot","360T",1000,"BUY","FILLED",17.95498,"CCG","CIB CPG and Agri","South Africa"
2024-10-14 08:18:49,"Anglo European","EUR/LSL","Forward","360T",100112500,"SELL","FILLED",19.8239155,"CCG","CIB Resources","London"
2024-10-14 08:18:50,"Bank in Germany","BWP/ZAR","Forward","ACCELERATE SDP",20200,"SELL","FILLED",1.3303,"ICG","CIB Banks and DFIs","London"
2024-10-14 08:19:13,"Mauritius Client","USD/ZAR","Spot","ACCELERATE STW",5120800,"BUY","FILLED",17.84528,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:19:23,"Mauritius Client","EUR/ZAR","Spot","FASTMATCH",1200,"SELL","FILLED",19.80292,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:19:42,"The Zebra Bank","USD/JPY","Spot","360T",1500,"BUY","FILLED",143.169,"ICG","CIB Banks and DFIs","London"
2024-10-14 08:19:49,"Dollar Refinery","USD/ZAR","Forward","360T",43598000,"SELL","FILLED",17.896055,"CCG","CIB Resources","Botswana"
2024-10-14 08:19:56,"Alan Brown","GBP/USD","Spot","FXALL",304500,"BUY","FILLED",1.31295,"ICG","CIB Asset Management & Funds","South Africa"
2024-10-14 08:20:14,"Namibia Nova","USD/ZAR","Forward","360T",9093900,"SELL","FILLED",18.038242,"CCG","CIB Financial Institutions Dom","Botswana"
2024-10-14 08:20:14,"ABC Motoring","EUR/ZAR","Forward","FASTMATCH",17082200,"SELL","FILLED",19.75398,"CCG","TBC","South Africa"
2024-10-14 08:20:29,"Mauritius Client","GBP/USD","Spot","FASTMATCH",14503100,"SELL","FILLED",1.31475,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:20:34,"GSA FUND","USD/ZAR","Spot","FASTMATCH",1000,"SELL","FILLED",17.85942,"ICG","Other","Botswana"
2024-10-14 08:21:10,"The Zebra Bank","USD/ZAR","Spot","ACCELERATE SDP",9055800,"BUY","FILLED",17.89324,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:21:15,"Anglo European","USD/ZAR","Spot","ACCELERATE SDP",1000,"BUY","FILLED",17.87898,"CCG","CIB Resources","London"
2024-10-14 08:21:24,"Golf 7 GTI RSA","EUR/USD","Spot","360T",3100,"BUY","FILLED",1.10606,"CCG","CIB Auto Logistics & Industrials","South Africa"
2024-10-14 08:21:31,"Silver Fields","USD/JPY","Spot","FXALL",64226800,"SELL","FILLED",146.817,"CCG","CIB Resources","South Africa"
2024-10-14 08:22:19,"Software Supplies","GBP/USD","Spot","FASTMATCH",7400,"BUY","FILLED",1.3139,"CCG","TBC","South Africa"
2024-10-14 08:22:34,"Ebucks Petrol Station","USD/ZAR","Spot","FASTMATCH",1000,"BUY","FILLED",17.96136,"CCG","CIB Resources","South Africa"
2024-10-14 08:22:55,"GSA FUND","USD/ZAR","Spot","360T",372600,"SELL","FILLED",17.88568,"ICG","Other","South Africa"
2024-10-14 08:22:56,"Dollar Refinery","USD/ZAR","Spot","BBG",3099600,"SELL","FILLED",17.95418,"CCG","CIB Resources","London"
2024-10-14 08:23:17,"Generation Medication","USD/ZAR","Spot","BBG",1130800,"BUY","FILLED",17.87898,"CCG","CIB CPG and Agri","London"
2024-10-14 08:23:29,"Bank in Germany","USD/ZAR","Spot","ACCELERATE STW",23575500,"SELL","FILLED",17.97096,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:23:33,"ABC Motoring","USD/JPY","Forward","360T",1000,"SELL","FILLED",146.373,"CCG","TBC","London"
2024-10-14 08:24:22,"OfferVest","USD/ZAR","Spot","360T",1300,"BUY","FILLED",17.76042,"ICG","CIB Banks and DFIs","London"
2024-10-14 08:24:23,"Alan Brown","AUD/ZAR","Forward","FASTMATCH",85500,"BUY","FILLED",2,"ICG","CIB Asset Management & Funds","South Africa"
2024-10-14 08:24:48,"Generation Medication","BWP/ZAR","Forward","360T",1000,"BUY","FILLED",1.3301,"CCG","CIB CPG and Agri","South Africa"
2024-10-14 08:24:48,"GSA FUND","USD/ZAR","Spot","FASTMATCH",3000,"BUY","FILLED",17.72964,"ICG","Other","London"
2024-10-14 08:24:49,"10 Multiplication","USD/ZAR","Spot","360T",1000,"BUY","FILLED",17.9297,"ICG","CIB Asset Management & Funds","South Africa"
2024-10-14 08:24:51,"Namibia Nova","USD/ZAR","Spot","360T",1602300,"SELL","FILLED",17.8625,"CCG","CIB Financial Institutions Dom","South Africa"
2024-10-14 08:25:57,"Generation Medication","USD/ZAR","Swap","ACCELERATE STW",51434600,"BUY","FILLED",0.1548484,"CCG","CIB CPG and Agri","South Africa"
2024-10-14 08:25:59,"Alan Brown","USD/ZAR","Spot","ACCELERATE STW",15400,"BUY","FILLED",17.97054,"ICG","CIB Asset Management & Funds","South Africa"
2024-10-14 08:26:22,"Ebucks Petrol Station","USD/ZAR","Spot","BBG",7000,"BUY","FILLED",17.75144,"CCG","CIB Resources","South Africa"
2024-10-14 08:26:49,"Mauritius Client","GBP/USD","Spot","ACCELERATE SDP",1700,"BUY","FILLED",1.31166,"ICG","CIB Banks and DFIs","London"
2024-10-14 08:27:09,"ABC Motoring","EUR/NAD","Forward","360T",8076700,"BUY","FILLED",19.81,"CCG","TBC","South Africa"
2024-10-14 08:27:38,"Bank in Germany","USD/ZAR","Spot","FASTMATCH",27971300,"BUY","FILLED",17.84169,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:27:46,"ABC Motoring","GBP/USD","Spot","FASTMATCH",22620900,"SELL","FILLED",1.31468,"CCG","TBC","South Africa"
2024-10-14 08:28:03,"Bank of Accesibility","USD/ZAR","Spot","ACCELERATE SDP",1500,"BUY","FILLED",17.79298,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:28:07,"GSA FUND","USD/ZAR","Spot","FASTMATCH",47197500,"BUY","FILLED",17.91576,"ICG","Other","South Africa"
2024-10-14 08:28:23,"Mauritius Client","GBP/USD","Spot","360T",1000,"SELL","FILLED",1.31264,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:28:27,"10 Multiplication","USD/ZAR","Spot","ACCELERATE SDP",690600,"BUY","FILLED",17.89245,"ICG","CIB Asset Management & Funds","London"
2024-10-14 08:28:31,"Alan Brown","USD/ZAR","Spot","FASTMATCH",7994600,"SELL","FILLED",17.82525,"ICG","CIB Asset Management & Funds","South Africa"
2024-10-14 08:28:41,"GSA FUND","USD/ZAR","Forward","FXALL",1400,"BUY","FILLED",17.9590408,"ICG","Other","London"
2024-10-14 08:28:59,"Anglo European","USD/ZAR","Spot","ACCELERATE SDP",17007600,"BUY","FILLED",17.80962,"CCG","CIB Resources","South Africa"
2024-10-14 08:30:20,"Anglo European","USD/ZAR","Forward","FASTMATCH",57200,"BUY","FILLED",17.8393781,"CCG","CIB Resources","London"
2024-10-14 08:31:00,"King Manufacturers","EUR/USD","Forward","ACCELERATE STW",2942900,"BUY","FILLED",1.105572,"CCG","CIB CPG and Agri","South Africa"
2024-10-14 08:33:14,"Generation Medication","BWP/ZAR","Forward","FASTMATCH",240684200,"BUY","FILLED",1.3337,"CCG","CIB CPG and Agri","South Africa"
2024-10-14 08:34:32,"Alan Brown","USD/ZAR","Spot","ACCELERATE STW",12152600,"SELL","FILLED",17.93217,"ICG","CIB Asset Management & Funds","South Africa"
2024-10-14 08:34:41,"ABC Motoring","BWP/ZAR","Forward","ACCELERATE SDP",93200,"BUY","FILLED",1.3355,"CCG","TBC","London"
2024-10-14 08:34:42,"King Manufacturers","USD/ZAR","Spot","BBG",56200,"BUY","FILLED",17.89169,"CCG","CIB CPG and Agri","London"
2024-10-14 08:34:54,"ABC Motoring","GBP/USD","Spot","FXALL",1000,"SELL","FILLED",1.31264,"CCG","TBC","South Africa"
2024-10-14 08:34:58,"Bank Ten","USD/THB","Swap","ACCELERATE SDP",78910200,"SELL","FILLED",-0.1952333,"ICG","CIB Banks and DFIs","Lesotho"
2024-10-14 08:35:12,"ABC Motoring","USD/ZAR","Spot","FASTMATCH",76600,"SELL","FILLED",17.8716,"CCG","TBC","South Africa"
2024-10-14 08:35:14,"Mauritius Client","USD/ZAR","Spot","FASTMATCH",1900,"SELL","FILLED",17.80604,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:35:18,"Mauritius Client","USD/ZAR","Spot","ACCELERATE SDP",37785600,"BUY","FILLED",17.87898,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:36:37,"GSA FUND","USD/ZAR","Spot","360T",113382800,"BUY","FILLED",17.9088,"ICG","Other","London"
2024-10-14 08:36:49,"OfferVest","USD/ZAR","Spot","FASTMATCH",939200,"BUY","FILLED",17.90888,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:36:54,"10 Multiplication","EUR/LSL","Forward","ACCELERATE SDP",4591700,"BUY","FILLED",19.7593127,"ICG","CIB Asset Management & Funds","South Africa"
2024-10-14 08:37:00,"Silver Fields","EUR/USD","Spot","ACCELERATE STW",273100,"BUY","FILLED",1.10945,"CCG","CIB Resources","Botswana"
2024-10-14 08:37:21,"10 Multiplication","BWP/ZAR","Forward","ACCELERATE SDP",25955800,"BUY","FILLED",1.3305,"ICG","CIB Asset Management & Funds","London"
2024-10-14 08:37:46,"Dollar Refinery","EUR/USD","Forward","ACCELERATE STW",971200,"BUY","FILLED",1.106501,"CCG","CIB Resources","South Africa"
2024-10-14 08:37:51,"ABC Motoring","USD/ZAR","Spot","ACCELERATE SDP",364900,"BUY","FILLED",17.9297,"CCG","TBC","London"
2024-10-14 08:38:37,"OfferVest","USD/ZAR","Spot","FASTMATCH",3853600,"BUY","FILLED",17.85847,"ICG","CIB Banks and DFIs","London"
2024-10-14 08:38:41,"Alan Brown","USD/ZAR","Forward","ACCELERATE SDP",148300,"BUY","FILLED",17.75592,"ICG","CIB Asset Management & Funds","South Africa"
2024-10-14 08:38:46,"Ebucks Petrol Station","USD/ZAR","Forward","360T",2385500,"SELL","FILLED",17.8150352,"CCG","CIB Resources","South Africa"
2024-10-14 08:39:01,"Anglo European","USD/ZAR","Spot","360T",221200,"BUY","FILLED",17.89328,"CCG","CIB Resources","South Africa"
2024-10-14 08:39:02,"Generation Medication","USD/ZAR","Spot","FASTMATCH",1000,"BUY","FILLED",17.93374,"CCG","CIB CPG and Agri","London"
2024-10-14 08:39:53,"Alan Brown","USD/ZAR","Spot","FASTMATCH",3889100,"BUY","FILLED",17.86565,"ICG","CIB Asset Management & Funds","South Africa"
2024-10-14 08:40:16,"Bank of Accesibility","USD/ZAR","Spot","FASTMATCH",3200,"SELL","FILLED",17.87076,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:40:28,"Anglo European","USD/ZAR","Forward","360T",1000,"BUY","FILLED",17.780745,"CCG","CIB Resources","South Africa"
2024-10-14 08:40:36,"Mauritius Client","USD/ZAR","Spot","FASTMATCH",5700,"BUY","FILLED",17.95864,"ICG","CIB Banks and DFIs","Lesotho"
2024-10-14 08:41:01,"Bank of Accesibility","GBP/NAD","Forward","FXALL",212731800,"BUY","FILLED",23.49,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:41:21,"ABC Motoring","USD/ZAR","Spot","360T",4660600,"BUY","FILLED",17.96038,"CCG","TBC","South Africa"
2024-10-14 08:41:23,"Mauritius Client","USD/ZAR","Spot","ACCELERATE STW",154400,"SELL","FILLED",17.88383,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:41:45,"Mauritius Client","USD/ZAR","Spot","FASTMATCH",1400,"SELL","FILLED",17.89415,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:41:48,"Alan Brown","USD/ZAR","Spot","BBG",153600,"BUY","FILLED",17.81651,"ICG","CIB Asset Management & Funds","South Africa"
2024-10-14 08:42:11,"King Manufacturers","USD/ZAR","Spot","ACCELERATE STW",315200,"BUY","FILLED",17.81145,"CCG","CIB CPG and Agri","South Africa"
2024-10-14 08:42:38,"Silver Fields","AUD/USD","Spot","360T",560900,"BUY","FILLED",0.67017,"CCG","CIB Resources","South Africa"
2024-10-14 08:42:59,"Mauritius Client","GBP/USD","Spot","FASTMATCH",99600,"SELL","FILLED",1.31348,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:43:13,"OfferVest","EUR/LSL","Forward","BBG",1223700,"BUY","FILLED",19.7593127,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:43:23,"Mauritius Client","GBP/USD","Spot","360T",637200,"BUY","FILLED",1.31729,"ICG","CIB Banks and DFIs","Namibia"
2024-10-14 08:43:58,"ABC Motoring","USD/ZAR","Spot","ACCELERATE SDP",1300,"BUY","FILLED",17.79929,"CCG","TBC","London"
2024-10-14 08:44:10,"Generation Medication","USD/ZAR","Spot","ACCELERATE SDP",1000,"SELL","FILLED",17.86914,"CCG","CIB CPG and Agri","South Africa"
2024-10-14 08:44:14,"ABC Motoring","USD/ZAR","Spot","360T",16562600,"SELL","FILLED",17.72166,"CCG","TBC","South Africa"
2024-10-14 08:44:19,"Bank of Accesibility","USD/ZAR","Spot","ACCELERATE STW",2300,"BUY","FILLED",17.85101,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:44:25,"Golf 7 GTI RSA","USD/ZAR","Spot","360T",6046900,"SELL","FILLED",17.95433,"CCG","CIB Auto Logistics & Industrials","South Africa"
2024-10-14 08:44:36,"Bank in Germany","USD/ZAR","Spot","ACCELERATE SDP",2300,"BUY","FILLED",17.76379,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:45:02,"Ebucks Petrol Station","GBP/USD","Spot","ACCELERATE SDP",1000,"SELL","FILLED",1.31206,"CCG","CIB Resources","South Africa"
2024-10-14 08:45:04,"GSA FUND","USD/ZAR","Spot","ACCELERATE SDP",1000,"BUY","FILLED",17.87436,"ICG","Other","South Africa"
2024-10-14 08:45:05,"Bank Ten","EUR/USD","Spot","360T",739000,"BUY","FILLED",1.10954,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:45:22,"Generation Medication","USD/ZAR","Spot","360T",10000,"SELL","FILLED",17.9643,"CCG","CIB CPG and Agri","South Africa"
2024-10-14 08:45:28,"Dollar Refinery","GBP/USD","Spot","FASTMATCH",4627900,"BUY","FILLED",1.31185,"CCG","CIB Resources","South Africa"
2024-10-14 08:45:35,"GSA FUND","GBP/ZAR","Swap","ACCELERATE STW",1400,"BUY","FILLED",0.1707488,"ICG","Other","South Africa"
2024-10-14 08:46:07,"Dollar Refinery","GBP/NAD","Forward","360T",6675900,"BUY","FILLED",23.49,"CCG","CIB Resources","South Africa"
2024-10-14 08:46:18,"GSA FUND","EUR/USD","Spot","FASTMATCH",108300,"BUY","FILLED",1.11066,"ICG","Other","South Africa"
2024-10-14 08:46:22,"The Zebra Bank","USD/ZAR","Spot","ACCELERATE SDP",214712000,"SELL","FILLED",17.90756,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:46:35,"Mauritius Client","USD/ZAR","Spot","ACCELERATE STW",29354300,"BUY","FILLED",17.86121,"ICG","CIB Banks and DFIs","Botswana"
2024-10-14 08:47:00,"GSA FUND","GBP/USD","Spot","360T",1000,"BUY","FILLED",1.3144,"ICG","Other","South Africa"
2024-10-14 08:47:09,"Anglo European","USD/ZAR","Spot","FASTMATCH",82500,"SELL","FILLED",17.97024,"CCG","CIB Resources","South Africa"
2024-10-14 08:47:12,"Mauritius Client","GBP/USD","Spot","360T",15904300,"BUY","FILLED",1.31468,"ICG","CIB Banks and DFIs","London"
2024-10-14 08:47:51,"GSA FUND","GBP/USD","Forward","ACCELERATE SDP",12000,"SELL","FILLED",1.316922,"ICG","Other","South Africa"
2024-10-14 08:47:59,"Nineteen Asset Managers","USD/ZAR","Spot","ACCELERATE SDP",22941900,"SELL","FILLED",17.87673,"ICG","CIB Asset Management & Funds","Botswana"
